Algoritmo,Tamanho da Amostra,Tempo (s)
Radix Sort,10000,0.007429999997839332
Quick Sort,10000,0.013580000028014183
Bubble Sort,10000,5.32889200001955
Quick Sort,20000,0.14463699993211776
Radix Sort,20000,0.012943999958224595
Bubble Sort,20000,22.805430999957025
Quick Sort,30000,0.038234999985434115
Radix Sort,30000,0.023219000082463026
Bubble Sort,30000,49.14772900007665
Quick Sort,40000,0.056004999903962016
Radix Sort,40000,0.191382999997586
Bubble Sort,40000,85.26713199994992
Quick Sort,50000,0.06517499999608845
Radix Sort,50000,0.14850400004070252
Bubble Sort,50000,133.15967299998738
Quick Sort,60000,0.07907700003124774
Radix Sort,60000,0.15110400004778057
Bubble Sort,60000,190.8222020000685
Quick Sort,70000,0.08388900000136346
Radix Sort,70000,0.15713900001719594
Bubble Sort,70000,259.7649260000326
Radix Sort,80000,0.08086800004821271
Quick Sort,80000,0.21267599996645004
Bubble Sort,80000,342.15022199996747
Radix Sort,90000,0.07533000002149493
Quick Sort,90000,0.22168199997395277
Bubble Sort,90000,432.1089530000463
Radix Sort,100000,0.27923500002361834
Quick Sort,100000,0.22490799997467548
Bubble Sort,100000,535.7091109999456
